depth.mbsf,trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
37.5,2,21:50:00,sample,orn-amc,3,killed,800,1315.45
37.5,2,21:50:00,sample,phe-arg-amc,1,killed,800,537.51
37.5,2,21:50:00,sample,phe-arg-amc,2,killed,800,409.56
37.5,2,21:50:00,sample,phe-arg-amc,3,killed,800,401.35
37.5,2,21:50:00,sample,phe-val-arg-amc,1,killed,800,929.18
37.5,2,21:50:00,sample,phe-val-arg-amc,2,killed,800,396.87
37.5,2,21:50:00,sample,phe-val-arg-amc,3,killed,800,628.76
37.5,2,21:50:00,calib,mub-std,NA,live,0,140.24
37.5,2,21:50:00,calib,mub-std,NA,live,16,7182.07
37.5,2,21:50:00,calib,mub-std,NA,live,32,12322.81
37.5,2,21:50:00,calib,mub-std,NA,live,48,19265.69
37.5,2,21:50:00,calib,mub-std,NA,live,64,32301.56
37.5,2,21:50:00,calib,mub-std,NA,live,80,18499.91
37.5,2,21:50:00,calib,amc-std,NA,live,0,144.49
37.5,2,21:50:00,calib,amc-std,NA,live,16,7250.23
37.5,2,21:50:00,calib,amc-std,NA,live,32,14496.7
37.5,2,21:50:00,calib,amc-std,NA,live,48,27615.21
37.5,2,21:50:00,calib,amc-std,NA,live,64,33751.23
37.5,2,21:50:00,calib,amc-std,NA,live,80,20238.64
