trial,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
1,22:14:00,standard,mub-xylo,NA,buffer,800,8106.75
1,22:14:00,standard,mub-cell,NA,buffer,800,10816.07
1,22:14:00,standard,mub-nag,NA,buffer,800,18342.47
1,22:14:00,standard,mub-b-glu,NA,buffer,800,3261.41
1,22:14:00,standard,mub-a-glu,NA,buffer,800,4982.23
1,22:14:00,standard,leu-amc,NA,buffer,800,220423.73
1,22:14:00,standard,arg-amc,NA,buffer,800,243629.65
1,22:14:00,standard,pro-amc,NA,buffer,800,153247.04
1,22:14:00,standard,orn-amc,NA,buffer,800,467010.9
1,22:14:00,standard,phe-arg-amc,NA,buffer,800,457410.15
1,22:14:00,standard,phe-val-arg-amc,NA,buffer,800,478497.9
1,22:14:00,standard,mub-std,NA,buffer,40,268937.37
1,22:14:00,standard,amc-std,NA,buffer,40,15185935
