depth.mbsf,elapsed.time.hms,sample.calib,substrate,rep,treatment,conc.uM,RFU
68.12,22:25:00,sample,mub-cell,3,live,800,98.22
68.12,22:25:00,sample,mub-nag,1,live,800,200.99
68.12,22:25:00,sample,mub-nag,2,live,800,226.24
68.12,22:25:00,sample,mub-nag,3,live,800,196.1
68.12,22:25:00,sample,mub-b-glu,1,live,800,110.25
68.12,22:25:00,sample,mub-b-glu,2,live,800,59.81
68.12,22:25:00,sample,mub-b-glu,3,live,800,101.86
68.12,22:25:00,sample,mub-a-glu,1,live,800,61.31
68.12,22:25:00,sample,mub-a-glu,2,live,800,62.32
68.12,22:25:00,sample,mub-a-glu,3,live,800,88.36
68.12,22:25:00,sample,leu-amc,1,live,800,205.74
68.12,22:25:00,sample,leu-amc,2,live,800,221.24
68.12,22:25:00,sample,leu-amc,3,live,800,344.33
68.12,22:25:00,sample,arg-amc,1,live,800,162.31
68.12,22:25:00,sample,arg-amc,2,live,800,164.12
68.12,22:25:00,sample,arg-amc,3,live,800,164.02
68.12,22:25:00,sample,pro-amc,1,live,800,149.9
68.12,22:25:00,sample,pro-amc,2,live,800,167.48
68.12,22:25:00,sample,pro-amc,3,live,800,158.73
68.12,22:25:00,sample,orn-amc,1,live,800,1281.61
68.12,22:25:00,sample,orn-amc,2,live,800,1109.55
68.12,22:25:00,sample,orn-amc,3,live,800,1165.63
68.12,22:25:00,sample,phe-arg-amc,1,live,800,654.01
68.12,22:25:00,sample,phe-arg-amc,2,live,800,622.15
68.12,22:25:00,sample,phe-arg-amc,3,live,800,603.48
68.12,22:25:00,sample,phe-val-arg-amc,1,live,800,399.87
68.12,22:25:00,sample,phe-val-arg-amc,2,live,800,392.96
68.12,22:25:00,sample,phe-val-arg-amc,3,live,800,379.56
68.12,22:25:00,sample,mub-po4,1,killed,800,1217.29
68.12,22:25:00,sample,mub-po4,2,killed,800,1141.7
68.12,22:25:00,sample,mub-po4,3,killed,800,1198.99
68.12,22:25:00,sample,mub-xylo,1,killed,800,73.21
68.12,22:25:00,sample,mub-xylo,2,killed,800,67.61
68.12,22:25:00,sample,mub-xylo,3,killed,800,109.25
68.12,22:25:00,sample,mub-cell,1,killed,800,87.72
68.12,22:25:00,sample,mub-cell,2,killed,800,40.21
68.12,22:25:00,sample,mub-cell,3,killed,800,189.38
68.12,22:25:00,sample,mub-nag,1,killed,800,183.99
68.12,22:25:00,sample,mub-nag,2,killed,800,206.73
68.12,22:25:00,sample,mub-nag,3,killed,800,183.1
68.12,22:25:00,sample,mub-b-glu,1,killed,800,56.8
68.12,22:25:00,sample,mub-b-glu,2,killed,800,56.57
68.12,22:25:00,sample,mub-b-glu,3,killed,800,53.59
68.12,22:25:00,sample,mub-a-glu,1,killed,800,105.34
68.12,22:25:00,sample,mub-a-glu,2,killed,800,62.03
68.12,22:25:00,sample,mub-a-glu,3,killed,800,58.85
68.12,22:25:00,sample,leu-amc,1,killed,800,237.52
68.12,22:25:00,sample,leu-amc,2,killed,800,209.47
68.12,22:25:00,sample,leu-amc,3,killed,800,215.49
68.12,22:25:00,sample,arg-amc,1,killed,800,233.24
68.12,22:25:00,sample,arg-amc,2,killed,800,180.63
68.12,22:25:00,sample,arg-amc,3,killed,800,161.26
68.12,22:25:00,sample,pro-amc,1,killed,800,155.06
68.12,22:25:00,sample,pro-amc,2,killed,800,240.76
68.12,22:25:00,sample,pro-amc,3,killed,800,145.71
68.12,22:25:00,sample,orn-amc,1,killed,800,1140.96
68.12,22:25:00,sample,orn-amc,2,killed,800,1215.47
68.12,22:25:00,sample,orn-amc,3,killed,800,1159.3
68.12,22:25:00,sample,phe-arg-amc,1,killed,800,592.54
68.12,22:25:00,sample,phe-arg-amc,2,killed,800,559.79
68.12,22:25:00,sample,phe-arg-amc,3,killed,800,677.84
